,components
2022-01-24 00:00:00,"['ADBE', 'ADP', 'ABNB', 'GOOGL', 'GOOG', 'AMZN', 'AMD', 'AEP', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'TEAM', 'ADSK', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CRWD', 'CSX', 'DDOG', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'FTNT', 'GILD', 'HON', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MRVL', 'MELI', 'META', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PANW', 'PAYX', 'PYPL', 'PDD', 'PEP', 'QCOM', 'REGN', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'ZS', 'SGEN', 'ALGN', 'EBAY', 'JD', 'LCID', 'ZM', 'ATVI', 'FISV', 'VRSN', 'SWKS', 'SPLK', 'BIDU', 'MTCH', 'DOCU', 'OKTA', 'XLNX', 'PTON']"
2021-12-20 00:00:00,"['ADBE', 'ADP', 'GOOGL', 'GOOG', 'AMZN', 'AMD', 'AEP', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'TEAM', 'ADSK', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CRWD', 'CSX', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'GILD', 'HON', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MRVL', 'MELI', 'META', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PDD', 'PEP', 'QCOM', 'REGN', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'SGEN', 'ALGN', 'EBAY', 'JD', 'ZM', 'ATVI', 'FISV', 'VRSN', 'SWKS', 'SPLK', 'BIDU', 'MTCH', 'DOCU', 'OKTA', 'XLNX', 'PTON', 'CDW', 'CERN', 'CHKP', 'TCOM', 'INCY', 'FOX']"
2021-08-26 00:00:00,"['ADBE', 'ADP', 'GOOGL', 'GOOG', 'AMZN', 'AMD', 'AEP', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'TEAM', 'ADSK', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'GILD', 'HON', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MRVL', 'MELI', 'META', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PDD', 'PEP', 'QCOM', 'REGN', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'SGEN', 'ALGN', 'EBAY', 'JD', 'ZM', 'ATVI', 'FISV', 'VRSN', 'SWKS', 'SPLK', 'BIDU', 'MTCH', 'DOCU', 'OKTA', 'XLNX', 'PTON', 'CDW', 'CERN', 'CHKP', 'TCOM', 'INCY', 'FOX', 'MXIM']"
2021-07-21 00:00:00,"['ADBE', 'ADP', 'GOOGL', 'GOOG', 'AMZN', 'AMD', 'AEP', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'TEAM', 'ADSK', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'GILD', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MRVL', 'MELI', 'META', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PDD', 'PEP', 'QCOM', 'REGN', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'SGEN', 'ALGN', 'EBAY', 'JD', 'ZM', 'ATVI', 'FISV', 'VRSN', 'SWKS', 'SPLK', 'BIDU', 'MTCH', 'DOCU', 'OKTA', 'XLNX', 'PTON', 'CDW', 'CERN', 'CHKP', 'TCOM', 'INCY', 'FOX', 'MXIM', 'ALXN']"
2020-12-21 00:00:00,"['ADBE', 'ADP', 'GOOGL', 'GOOG', 'AMZN', 'AMD', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'ADSK', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'GILD', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MELI', 'META', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PDD', 'PEP', 'QCOM', 'REGN', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'SGEN', 'ALGN', 'EBAY', 'JD', 'ZM', 'ATVI', 'FISV', 'VRSN', 'SWKS', 'SPLK', 'BIDU', 'DOCU', 'XLNX', 'CDW', 'CERN', 'CHKP', 'TCOM', 'INCY', 'FOX', 'MXIM', 'ALXN', 'BMRN', 'CTXS', 'EXPE', 'TTWO', 'ULTA', 'LBTYA']"
2020-10-19 00:00:00,"['ADBE', 'ADP', 'GOOGL', 'GOOG', 'AMZN', 'AMD', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'ADSK', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'GILD', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MELI', 'META', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PDD', 'PEP', 'QCOM', 'REGN', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'SGEN', 'ALGN', 'EBAY', 'JD', 'ZM', 'ATVI', 'FISV', 'VRSN', 'SWKS', 'SPLK', 'BIDU', 'DOCU', 'XLNX', 'CDW', 'CERN', 'CHKP', 'TCOM', 'INCY', 'FOX', 'MXIM', 'ALXN', 'BMRN', 'CTXS', 'EXPE', 'TTWO', 'ULTA', 'LBTYA', 'WDC']"
2020-08-24 00:00:00,"['ADBE', 'ADP', 'GOOGL', 'GOOG', 'AMZN', 'AMD', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'ADSK', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'GILD', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MELI', 'META', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'QCOM', 'REGN', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'SGEN', 'ALGN', 'EBAY', 'JD', 'ZM', 'ATVI', 'FISV', 'VRSN', 'SWKS', 'SPLK', 'BIDU', 'DOCU', 'XLNX', 'CDW', 'CERN', 'CHKP', 'TCOM', 'INCY', 'FOX', 'MXIM', 'ALXN', 'BMRN', 'CTXS', 'EXPE', 'TTWO', 'ULTA', 'LBTYA', 'WDC', 'NTAP']"
2020-07-20 00:00:00,"['ADBE', 'ADP', 'GOOGL', 'GOOG', 'AMZN', 'AMD', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'ADSK', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'GILD', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MELI', 'META', 'MCHP', 'MU', 'MSFT', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'QCOM', 'REGN', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'SGEN', 'ALGN', 'EBAY', 'JD', 'ZM', 'ATVI', 'FISV', 'VRSN', 'SWKS', 'SPLK', 'BIDU', 'DOCU', 'XLNX', 'CDW', 'CERN', 'CHKP', 'TCOM', 'INCY', 'FOX', 'MXIM', 'ALXN', 'BMRN', 'CTXS', 'EXPE', 'TTWO', 'ULTA', 'LBTYA', 'WDC', 'NTAP', 'CSGP']"
2020-06-22 00:00:00,"['ADBE', 'ADP', 'GOOGL', 'GOOG', 'AMZN', 'AMD', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'ADSK', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'GILD', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MELI', 'META', 'MCHP', 'MU', 'MSFT', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'QCOM', 'REGN', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'SGEN', 'ALGN', 'EBAY', 'JD', 'ZM', 'ATVI', 'FISV', 'VRSN', 'SWKS', 'SPLK', 'BIDU', 'XLNX', 'CDW', 'CERN', 'CHKP', 'TCOM', 'INCY', 'FOX', 'MXIM', 'ALXN', 'BMRN', 'CTXS', 'EXPE', 'TTWO', 'ULTA', 'LBTYA', 'WDC', 'NTAP', 'CSGP', 'UAL']"
2020-04-30 00:00:00,"['ADBE', 'ADP', 'GOOGL', 'GOOG', 'AMZN', 'AMD', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'ADSK', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'GILD', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MELI', 'META', 'MCHP', 'MU', 'MSFT', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'QCOM', 'REGN', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'SGEN', 'ALGN', 'EBAY', 'JD', 'ATVI', 'FISV', 'VRSN', 'SWKS', 'SPLK', 'BIDU', 'XLNX', 'CDW', 'CERN', 'CHKP', 'TCOM', 'INCY', 'FOX', 'MXIM', 'ALXN', 'BMRN', 'CTXS', 'EXPE', 'TTWO', 'ULTA', 'LBTYA', 'WDC', 'NTAP', 'CSGP', 'UAL', 'WLTW']"
